Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,10056776121,10560572144,10684739525,11524325287,12546042512,14149624058,15460835761,12268011950,14219893087,16037489503,16097123281,16757095740,16968945258,16212366161,16707347272
325--CHEMICALS,1454971710,1625455849,1866521125,2058761826,1936958954,2100417750,2382038966,2080213918,2651571918,3288926302,4033917644,4713827149,3346414442,3686486304,5289977788
336--TRANSPORTATION EQUIPMENT,2126219169,2035069209,1740351114,1433631889,1582994752,1805246179,1896771817,1474790709,1227233578,1588121317,1750049663,1844903997,2231764106,2649150915,2048600070
334--COMPUTER AND ELECTRONIC PRODUCTS,1473998725,1534762030,1657054616,1644266136,1855531773,1818582717,1921244797,1621500482,1842614303,1699762088,1504784750,1313486642,1741719297,1414988614,1442443029
333--MACHINERY; EXCEPT ELECTRICAL,1235355822,1489530926,1338127513,1535762184,1591545989,1765593563,1837184647,1464443176,1546427438,1383062744,1480630647,1504870528,1657260285,1556301224,1249879668
339--MISCELLANEOUS MANUFACTURED COMMODITIES,496363247,480023505,544355750,595007781,644449166,659248756,711287523,708009934,735898265,709288282,657324270,634668710,820290411,744133454,723293633
111--AGRICULTURAL PRODUCTS,366373222,337273774,371435223,380479505,296661478,418853663,461573924,356124782,396009849,479982438,417555667,636526810,614845477,664697452,614509411
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,254885334,267561668,271475902,277454807,352748034,319373680,359398787,334929261,310576366,419457604,438428100,517932937,608573278,605721168,597457396
910--WASTE AND SCRAP,91386772,100330294,135228393,187787360,294490443,348613251,413413298,346276381,677457260,919768162,752278323,648064591,595693362,544530664,561070274
331--PRIMARY METAL MFG,305441775,436027186,434185162,655915087,826444000,1227339912,1330494315,711210491,912508609,723609243,649188337,607113763,844272322,485032539,527046454
322--PAPER,422123556,481176839,503862807,581359989,581727646,646481881,667709555,495273719,661443839,659093211,574474099,571689322,465804639,441745770,455009570
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,361442631,362688037,349212870,434202107,439670103,487933277,519536449,445056420,557055146,467755314,438199783,439562646,430047958,439686755,443518229
332--FABRICATED METAL PRODUCTS; NESOI,159884182,220735122,197025424,214321484,219855995,269884285,326497375,252183195,256442384,349553543,363586940,364410111,393655354,402902000,378533738
211--OIL & GAS,2359715,7202922,486765,3325701,1106330,29764879,100875,79603,7580992,14072281,74151,8032,92627102,82135382,341061968
930--USED OR SECOND-HAND MERCHANDISE,0,0,0,0,0,0,0,0,0,119066492,195234786,165241039,232835477,263105492,321063678
212--MINERALS & ORES,208933236,198304083,163738320,272283752,377221319,404055662,393958674,331428254,507161039,1028627545,1115376654,723758158,670762180,391886189,276369269
311--FOOD MANUFACTURES,161960841,142352529,114872203,135785295,161371267,209600892,287278369,265327459,234697131,303472095,266770314,388089755,421461718,275969909,251860056
324--PETROLEUM & COAL PRODUCTS,86064713,106641578,167124053,131644709,354279864,386474648,836725583,397722575,609912275,827028461,548401435,657635262,684761577,548162327,242614140
316--LEATHER & ALLIED PRODUCTS,81059969,129079436,104586911,143706572,154885278,142539756,102443757,84890431,138220577,200029144,181607333,234639609,260545892,214419007,194848146
326--PLASTICS & RUBBER PRODUCTS,85423397,87984006,114205414,113213455,131019946,149470024,159580122,117503367,137249275,153758272,136793514,139841066,141139002,145522353,151044953
114--FISH; FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS,47995624,51585636,56943391,58382842,63297931,80280526,77156278,80620026,86281615,86781116,80883521,79879108,93156061,89370848,99392640
327--NONMETALLIC MINERAL PRODUCTS,65609798,61935955,77999987,89988459,89075552,105813015,105718591,80386215,93871033,104060918,93685659,98088093,111288747,97585222,94837265
315--APPAREL MANUFACTURING PRODUCTS,35497074,32229993,40871666,47487970,50924427,56488179,55315726,50692544,57186917,76002732,73656622,70412832,74341531,72831810,70523652
312--BEVERAGES & TOBACCO PRODUCTS,21530690,24888480,43367263,67474619,77998660,89167647,97824158,96461317,90150565,86781546,70464638,80253976,86573795,70908210,64771917
321--WOOD PRODUCTS,137802765,141543934,150575460,145037040,159098248,164860871,136059378,101946838,143640357,113184076,86615030,110108838,115273581,74604105,63799718
323--PRINTED MATTER AND RELATED PRODUCTS; NESOI,26746074,21047782,25907660,42725494,49120897,65342515,67011127,80674613,47113228,65337114,52147604,52531057,52539590,62940874,55951423
313--TEXTILES & FABRICS,50089998,46552739,43734667,43781516,44783387,39407322,50595692,42250251,48852093,48048388,48947443,47450625,52583156,47504878,44127465
113--FORESTRY PRODUCTS; NESOI,28131864,29826108,33633822,36588303,40181183,67212002,58425427,41435577,48889729,52674800,32265026,54194045,58943330,88064717,40010356
337--FURNITURE & FIXTURES,28971107,28589963,32469942,31807655,32221740,27290258,31327415,26381113,32713061,30494946,31213801,32343697,43085244,28360049,37900377
314--TEXTILE MILLS PRODUCTS,17736035,16136323,24563697,23471888,24166046,32204786,27217470,18359624,17858011,20198953,12293028,12349056,15490686,14663588,16041597
112--OTHER ANIMALS,9024253,8410467,10995699,10474494,11049371,10383471,15729706,9868330,9409685,10453427,10274499,13214286,11195658,8954342,9789392
ZZZ--TRADED ITEMS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920--USED OR SECOND-HAND MERCHANDISE,213309172,55488149,59492026,113476353,85184441,211940002,123142577,141499226,124650034,0,0,0,0,0,0
511--NEWSPAPERS; BOOKS & OTHER PUBLISHED MATTER; NESOI,83651,137622,10334680,14719015,15978292,9758689,8073383,10472119,9216515,9036949,0,0,0,0,0
3ZZ--MANUFACTURING PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33Z--MANUFACTURING PRODUCTS; PART 3; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11Z--AGRICULTURE AND LIVESTOCK PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
